cost_change_id,제품도번,원가항목,변경일,적용시작일,이전금액,이후금액,변경액,트리거유형,관련자재코드,공급사,근거문서번호
CS0154,P-3025,가공비,2024-12-08,2024-12-08,56.7,57.4,0.7,공정변경,,,
CS0155,P-3008,가공비,2024-12-12,2024-12-15,64.4,65.4,1.0,공정변경,,,
CS0156,P-3030,재료비,2024-12-13,2024-12-22,28.5,30.4,1.9,환율,RES-110,수지공급-가,원가2024-0483
CS0157,P-3034,경비,2024-12-19,2024-12-31,41.9,41.4,-0.5,기타,,,
CS0158,P-3028,가공비,2024-12-22,2024-12-28,61.7,63.5,1.8,에너지비,,,
CS0159,P-3013,경비,2024-12-29,2025-01-09,36.4,35.6,-0.8,에너지비,,,
CS0160,P-3029,재료비,2024-12-29,2025-01-11,112.3,120.3,8.0,환율,RES-102,도료공급-나,원가2024-0652
CS0161,P-3001,가공비,2024-12-30,2025-01-11,61.6,63.7,2.1,공정변경,,,
CS0162,P-3008,경비,2024-12-30,2025-01-03,21.1,21.5,0.4,기타,,,
CS0163,P-3029,인건비,2025-01-01,2025-01-02,37.4,38.7,1.3,최저임금,,,
CS0164,P-3032,인건비,2025-01-01,2025-01-06,32.8,34.2,1.4,최저임금,,,
CS0165,P-3003,인건비,2025-01-02,2025-01-04,40.1,41.7,1.6,최저임금,,,
CS0166,P-3006,인건비,2025-01-02,2025-01-02,36.7,37.5,0.8,최저임금,,,
CS0167,P-3008,인건비,2025-01-03,2025-01-16,39.6,41.0,1.4,최저임금,,,
CS0168,P-3019,인건비,2025-01-03,2025-01-08,37.7,38.6,0.9,최저임금,,,
CS0169,P-3015,인건비,2025-01-04,2025-01-05,38.8,40.4,1.6,최저임금,,,
CS0170,P-3017,인건비,2025-01-04,2025-01-08,41.3,42.9,1.6,최저임금,,,
CS0171,P-3001,인건비,2025-01-06,2025-01-17,37.5,38.7,1.2,최저임금,,,
CS0172,P-3002,인건비,2025-01-07,2025-01-16,42.0,43.5,1.5,최저임금,,,
CS0173,P-3022,인건비,2025-01-07,2025-01-17,34.0,35.2,1.2,최저임금,,,
CS0174,P-3026,인건비,2025-01-07,2025-01-15,42.5,43.7,1.2,최저임금,,,
CS0175,P-3035,인건비,2025-01-07,2025-01-15,39.1,39.9,0.8,최저임금,,,
CS0176,P-3011,인건비,2025-01-08,2025-01-18,37.0,37.8,0.8,최저임금,,,
CS0177,P-3025,인건비,2025-01-08,2025-01-18,34.3,35.2,0.9,최저임금,,,
CS0178,P-3034,인건비,2025-01-09,2025-01-10,34.1,35.4,1.3,최저임금,,,
CS0179,P-3014,인건비,2025-01-10,2025-01-19,40.5,41.4,0.9,최저임금,,,
CS0180,P-3018,인건비,2025-01-11,2025-01-24,38.4,39.4,1.0,최저임금,,,
CS0181,P-3033,인건비,2025-01-11,2025-01-11,34.7,35.5,0.8,최저임금,,,
CS0182,P-3030,인건비,2025-01-12,2025-01-16,36.4,37.9,1.5,최저임금,,,
CS0183,P-3031,인건비,2025-01-12,2025-01-19,37.5,38.8,1.3,최저임금,,,
CS0184,P-3007,인건비,2025-01-13,2025-01-25,37.0,37.9,0.9,최저임금,,,
CS0185,P-3027,인건비,2025-01-13,2025-01-24,37.0,38.0,1.0,최저임금,,,
CS0186,P-3005,인건비,2025-01-14,2025-01-14,39.7,40.6,0.9,최저임금,,,
CS0187,P-3007,경비,2025-01-14,2025-01-16,18.5,18.8,0.3,에너지비,,,
CS0188,P-3009,인건비,2025-01-15,2025-01-27,32.3,33.2,0.9,최저임금,,,
CS0189,P-3012,인건비,2025-01-15,2025-01-24,36.2,37.6,1.4,최저임금,,,
CS0190,P-3020,인건비,2025-01-15,2025-01-29,34.4,35.2,0.8,최저임금,,,
CS0191,P-3023,인건비,2025-01-15,2025-01-15,33.5,34.5,1.0,최저임금,,,
CS0192,P-3024,인건비,2025-01-15,2025-01-22,38.1,39.0,0.9,최저임금,,,
CS0193,P-3007,가공비,2025-01-17,2025-01-18,62.3,63.3,1.0,에너지비,,,
CS0194,P-3013,인건비,2025-01-18,2025-01-20,38.8,39.6,0.8,최저임금,,,
CS0195,P-3016,인건비,2025-01-19,2025-01-21,38.5,39.9,1.4,최저임금,,,
CS0196,P-3028,인건비,2025-01-19,2025-01-23,36.5,37.5,1.0,최저임금,,,
CS0197,P-3004,인건비,2025-01-20,2025-01-30,39.3,40.1,0.8,최저임금,,,
CS0198,P-3010,인건비,2025-01-20,2025-01-24,32.6,33.4,0.8,최저임금,,,
CS0199,P-3021,인건비,2025-01-20,2025-01-27,35.7,36.5,0.8,최저임금,,,
CS0200,P-3024,가공비,2025-01-23,2025-02-03,61.5,63.1,1.6,공정변경,,,
CS0201,P-3017,재료비,2025-01-24,2025-01-29,58.4,61.0,2.6,환율,RES-102,도료공급-나,원가2025-0741
CS0202,P-3029,재료비,2025-01-24,2025-02-01,120.3,128.9,8.6,환율,RES-101,도료공급-나,원가2025-0819
CS0203,P-3006,재료비,2025-02-14,2025-02-27,56.6,60.4,3.8,환율,RES-106,도료공급-가,원가2025-0922
CS0204,P-3005,재료비,2025-02-15,2025-02-17,47.4,50.6,3.2,환율,RES-110,수지공급-가,원가2025-0196
CS0205,P-3030,재료비,2025-02-16,2025-02-18,30.4,31.6,1.2,자재단가,RES-101,도료공급-나,원가2025-0522
CS0206,P-3015,재료비,2025-02-22,2025-02-26,51.2,55.8,4.6,자재단가,RES-106,도료공급-가,원가2025-0721
CS0207,P-3007,재료비,2025-02-25,2025-03-07,30.0,29.0,-1.0,자재단가,RES-111,수지공급-가,원가2025-0120
CS0208,P-3022,가공비,2025-02-25,2025-03-03,58.9,58.3,-0.6,에너지비,,,
CS0209,P-3005,재료비,2025-03-02,2025-03-11,50.6,53.3,2.7,자재단가,RES-102,도료공급-나,원가2025-0503
CS0210,P-3022,경비,2025-03-07,2025-03-08,21.9,22.3,0.4,기타,,,
CS0211,P-3003,재료비,2025-03-11,2025-03-12,119.5,129.4,9.9,자재단가,RES-108,도료공급-나,원가2025-0971
CS0212,P-3021,재료비,2025-03-11,2025-03-23,25.4,28.3,2.9,환율,RES-105,도료공급-나,원가2025-0364
CS0213,P-3026,경비,2025-03-14,2025-03-22,35.2,36.0,0.8,기타,,,
CS0214,P-3026,가공비,2025-03-16,2025-03-19,71.9,73.8,1.9,에너지비,,,
CS0215,P-3010,재료비,2025-03-17,2025-03-22,173.0,181.7,8.7,자재단가,RES-104,도료공급-나,원가2025-0920
CS0216,P-3011,가공비,2025-03-19,2025-03-27,59.9,61.1,1.2,공정변경,,,
CS0217,P-3011,경비,2025-03-23,2025-04-03,18.7,19.2,0.5,에너지비,,,
CS0218,P-3005,재료비,2025-03-28,2025-03-28,53.3,58.4,5.1,자재단가,RES-105,도료공급-나,원가2025-0951
CS0219,P-3012,재료비,2025-03-29,2025-04-01,26.9,29.2,2.3,자재단가,RES-108,도료공급-나,원가2025-0848
CS0220,P-3014,재료비,2025-03-30,2025-04-05,23.6,25.0,1.4,환율,RES-108,도료공급-나,원가2025-0073
CS0221,P-3003,재료비,2025-04-01,2025-04-05,129.4,142.5,13.1,자재단가,RES-102,도료공급-나,원가2025-0801
CS0222,P-3020,재료비,2025-04-08,2025-04-16,149.2,154.0,4.8,자재단가,RES-101,도료공급-나,원가2025-0661
CS0223,P-3027,재료비,2025-04-10,2025-04-12,59.8,62.8,3.0,환율,RES-102,도료공급-나,원가2025-0339
CS0224,P-3018,재료비,2025-04-18,2025-04-30,146.5,152.9,6.4,환율,RES-110,수지공급-가,원가2025-0113
CS0225,P-3012,재료비,2025-04-19,2025-04-24,29.2,27.3,-1.9,자재단가,RES-111,수지공급-가,원가2025-0062
CS0226,P-3005,재료비,2025-04-29,2025-05-08,58.4,62.7,4.3,자재단가,RES-102,도료공급-나,원가2025-0811
CS0227,P-3011,경비,2025-05-19,2025-05-27,19.2,19.4,0.2,에너지비,,,
CS0228,P-3011,가공비,2025-05-23,2025-05-30,61.1,62.5,1.4,에너지비,,,
CS0229,P-3013,경비,2025-05-28,2025-06-01,35.6,36.1,0.5,기타,,,
CS0230,P-3010,재료비,2025-06-01,2025-06-06,181.7,167.3,-14.4,자재단가,RES-101,도료공급-나,원가2025-0449
CS0231,P-3013,가공비,2025-06-03,2025-06-17,65.9,63.5,-2.4,에너지비,,,
CS0232,P-3009,경비,2025-06-20,2025-06-21,21.8,22.4,0.6,기타,,,
CS0233,P-3029,재료비,2025-06-20,2025-06-24,128.9,140.5,11.6,환율,RES-105,도료공급-나,원가2025-0754
CS0234,P-3009,가공비,2025-06-26,2025-06-29,53.9,55.5,1.6,에너지비,,,
CS0235,P-3017,가공비,2025-06-26,2025-07-09,66.6,67.3,0.7,공정변경,,,
CS0236,P-3030,가공비,2025-06-30,2025-07-10,61.9,62.8,0.9,에너지비,,,
CS0237,P-3006,재료비,2025-07-02,2025-07-05,60.4,62.9,2.5,환율,RES-112,수지공급-나,원가2025-0498
CS0238,P-3017,경비,2025-07-14,2025-07-18,24.1,24.8,0.7,기타,,,
CS0239,P-3008,가공비,2025-07-15,2025-07-27,65.4,67.3,1.9,에너지비,,,
CS0240,P-3032,재료비,2025-07-15,2025-07-17,15.9,17.4,1.5,환율,RES-111,수지공급-가,원가2025-0044
CS0241,P-3012,재료비,2025-07-25,2025-07-28,27.3,29.8,2.5,자재단가,RES-111,수지공급-가,원가2025-0082
CS0242,P-3005,재료비,2025-07-28,2025-08-02,62.7,67.8,5.1,자재단가,RES-102,도료공급-나,원가2025-0481
CS0243,P-3033,재료비,2025-07-30,2025-07-30,28.0,26.5,-1.5,환율,RES-112,수지공급-나,원가2025-0679
CS0244,P-3019,재료비,2025-08-06,2025-08-11,169.5,160.3,-9.2,환율,RES-106,도료공급-가,원가2025-0560
CS0245,P-3028,재료비,2025-08-13,2025-08-27,54.5,56.8,2.3,자재단가,RES-110,수지공급-가,원가2025-0551
CS0246,P-3002,재료비,2025-09-06,2025-09-08,50.0,55.5,5.5,환율,RES-101,도료공급-나,원가2025-0156
CS0247,P-3033,재료비,2025-09-06,2025-09-13,26.5,28.0,1.5,자재단가,RES-110,수지공급-가,원가2025-0688
CS0248,P-3012,재료비,2025-09-14,2025-09-15,29.8,32.0,2.2,환율,RES-107,도료공급-가,원가2025-0048
CS0249,P-3033,재료비,2025-09-26,2025-10-04,28.0,29.5,1.5,자재단가,RES-107,도료공급-가,원가2025-0919
CS0250,P-3015,경비,2025-09-30,2025-09-30,23.8,23.2,-0.6,에너지비,,,
CS0251,P-3027,가공비,2025-10-01,2025-10-04,60.6,61.6,1.0,공정변경,,,
CS0252,P-3015,가공비,2025-10-07,2025-10-21,64.1,65.5,1.4,공정변경,,,
CS0253,P-3019,재료비,2025-10-07,2025-10-20,160.3,168.0,7.7,환율,RES-104,도료공급-나,원가2025-0004
CS0254,P-3025,재료비,2025-10-10,2025-10-10,52.6,57.4,4.8,환율,RES-106,도료공급-가,원가2025-0119
